Date : 2024-10-01 13:07:49
Directory : /Users/2398768715qq.com/GitHub/ITMO-Labs
Total : 1579 files,  270183 codes, 14017 comments, 17115 blanks, all 301315 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| XML             |        326 |    120,914 |        100 |        273 |    121,287 |
| JSON            |         42 |     49,416 |          0 |         19 |     49,435 |
| JavaScript      |        128 |     39,657 |      8,964 |      9,154 |     57,775 |
| Java            |        783 |     25,298 |      3,696 |      3,528 |     32,522 |
| CSV             |         22 |      8,293 |          0 |         15 |      8,308 |
| Markdown        |         33 |      6,429 |          0 |      2,260 |      8,689 |
| CSS             |         41 |      5,688 |        234 |        409 |      6,331 |
| HTML            |         51 |      4,284 |        330 |        537 |      5,151 |
| Less            |         34 |      3,080 |        100 |        226 |      3,406 |
| SCSS            |         28 |      2,556 |         78 |         88 |      2,722 |
| JavaScript JSX  |         17 |      1,789 |        155 |        102 |      2,046 |
| MS SQL          |         32 |      1,729 |         64 |        220 |      2,013 |
| Batch           |          7 |        529 |        262 |        191 |        982 |
| PHP             |          3 |        245 |          6 |         57 |        308 |
| Java Properties |         26 |        144 |         24 |         21 |        189 |
| Excel           |          1 |         96 |          0 |          0 |         96 |
| Prolog          |          1 |         18 |          0 |          3 |         21 |
| Makefile        |          2 |         12 |          4 |         10 |         26 |
| YAML            |          2 |          6 |          0 |          2 |          8 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                             |      1,579 |    270,183 |     14,017 |     17,115 |    301,315 |
| . (Files)                                                                                                                                                     |          1 |          2 |          0 |          1 |          3 |
| BusinessLogic                                                                                                                                                 |         92 |      2,257 |        154 |        509 |      2,920 |
| BusinessLogic/Lab1                                                                                                                                            |         43 |        880 |         51 |        194 |      1,125 |
| BusinessLogic/Lab1 (Files)                                                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| BusinessLogic/Lab1/.idea                                                                                                                                      |          5 |         38 |          0 |          0 |         38 |
| BusinessLogic/Lab1/Lab                                                                                                                                        |         28 |        746 |         51 |        185 |        982 |
| BusinessLogic/Lab1/Lab (Files)                                                                                                                                |          2 |        184 |         51 |         41 |        276 |
| BusinessLogic/Lab1/Lab/.mvn                                                                                                                                   |          1 |          2 |          0 |          1 |          3 |
| BusinessLogic/Lab1/Lab/.mvn/wrapper                                                                                                                           |          1 |          2 |          0 |          1 |          3 |
| BusinessLogic/Lab1/Lab/src                                                                                                                                    |         25 |        560 |          0 |        143 |        703 |
| BusinessLogic/Lab1/Lab/src/main                                                                                                                               |         24 |        551 |          0 |        138 |        689 |
| BusinessLogic/Lab1/Lab/src/main/java                                                                                                                          |         20 |        497 |          0 |        125 |        622 |
| BusinessLogic/Lab1/Lab/src/main/java/com                                                                                                                      |         20 |        497 |          0 |        125 |        622 |
| BusinessLogic/Lab1/Lab/src/main/java/com/blps                                                                                                                 |         20 |        497 |          0 |        125 |        622 |
| BusinessLogic/Lab1/Lab/src/main/java/com/blps/lab1                                                                                                            |         20 |        497 |          0 |        125 |        622 |
| BusinessLogic/Lab1/Lab/src/main/java/com/blps/lab1 (Files)                                                                                                    |          2 |         18 |          0 |          8 |         26 |
| BusinessLogic/Lab1/Lab/src/main/java/com/blps/lab1/controller                                                                                                 |          2 |        161 |          0 |         33 |        194 |
| BusinessLogic/Lab1/Lab/src/main/java/com/blps/lab1/databaseJPA                                                                                                |         13 |        170 |          0 |         49 |        219 |
| BusinessLogic/Lab1/Lab/src/main/java/com/blps/lab1/service                                                                                                    |          3 |        148 |          0 |         35 |        183 |
| BusinessLogic/Lab1/Lab/src/main/resources                                                                                                                     |          4 |         54 |          0 |         13 |         67 |
